layer,hhi,low,high,top_share,shannon_effective_categories,panel,draw,mutual_information
,,,,,,b,326.0,0.3404681941843503
,,,,,,b,327.0,0.3933109504149814
,,,,,,b,328.0,0.3070958118072791
,,,,,,b,329.0,0.31479761554399
,,,,,,b,330.0,0.3509691663241274
,,,,,,b,331.0,0.3087191522848016
,,,,,,b,332.0,0.2970440534763119
,,,,,,b,333.0,0.3469807733209751
,,,,,,b,334.0,0.3503689553408682
,,,,,,b,335.0,0.3592587824010045
,,,,,,b,336.0,0.3506222750735013
,,,,,,b,337.0,0.3443165276501925
,,,,,,b,338.0,0.3625983393034242
,,,,,,b,339.0,0.3660416331369585
,,,,,,b,340.0,0.3176467964791731
,,,,,,b,341.0,0.3868579100822313
,,,,,,b,342.0,0.3746828777650344
,,,,,,b,343.0,0.3017506622187649
,,,,,,b,344.0,0.3637627618148045
,,,,,,b,345.0,0.3192497084802204
,,,,,,b,346.0,0.3555236351103459
,,,,,,b,347.0,0.3540096746444101
,,,,,,b,348.0,0.3106218151237221
,,,,,,b,349.0,0.3450641156511644
,,,,,,b,350.0,0.2952073694195554
,,,,,,b,351.0,0.3735236270536446
,,,,,,b,352.0,0.3774100001180542
,,,,,,b,353.0,0.4376280695061298
,,,,,,b,354.0,0.3937351992090447
,,,,,,b,355.0,0.4115360890065256
,,,,,,b,356.0,0.382229344848163
,,,,,,b,357.0,0.407446108074569
,,,,,,b,358.0,0.4159891281806023
,,,,,,b,359.0,0.3281478897654555
,,,,,,b,360.0,0.42026290948598
,,,,,,b,361.0,0.376916401677831
,,,,,,b,362.0,0.4367473371980654
,,,,,,b,363.0,0.3266065484701728
,,,,,,b,364.0,0.3568682588200955
,,,,,,b,365.0,0.3527265834595354
,,,,,,b,366.0,0.4151529382701371
,,,,,,b,367.0,0.303056068082177
,,,,,,b,368.0,0.3531774800268916
,,,,,,b,369.0,0.3279245274648419
,,,,,,b,370.0,0.3795777183255451
,,,,,,b,371.0,0.3399368854653044
,,,,,,b,372.0,0.3285127493386732
,,,,,,b,373.0,0.389127568259747
,,,,,,b,374.0,0.3329221145490715
,,,,,,b,375.0,0.3543002540377307
,,,,,,b,376.0,0.3446580650210245
,,,,,,b,377.0,0.3385271191325607
,,,,,,b,378.0,0.3406652669702774
,,,,,,b,379.0,0.3152969475591507
,,,,,,b,380.0,0.313739283724598
,,,,,,b,381.0,0.283241630478515
,,,,,,b,382.0,0.3556146582514969
,,,,,,b,383.0,0.3421722898695627
,,,,,,b,384.0,0.3880965749525078
,,,,,,b,385.0,0.3299442729613426
,,,,,,b,386.0,0.2985219089900597
,,,,,,b,387.0,0.365830432949334
