space_id,revision_role,revision,revision_date,provider,layer,evidence_type,evidence_value,source_file,confidence
fizailyas783/smart-study-assistant,earliest_analyzable,2526e3416d61b885e2efffde6bbbce4028fa8b3f,2026-04-23T07:53:19.000Z,Groq,inference_service,package,groq,requirements.txt,high
flexfitfury9/ai-educational-platform,earliest_analyzable,3d1ee5c4a7004fed969c99cf79a73821d770eb9c,2026-01-05T17:39:58.000Z,OpenRouter,inference_service,code_signature,openrouter_endpoint,app.py,high
forWard666/AL_TEACHING_ASSISTANT,earliest_analyzable,b869c878be4c0c2da8ea71b5998b976470550665,2024-07-16T08:06:32.000Z,Hugging Face,inference_service,code_signature,hf_inference,app.py,high
geekaijosh/Agent_AI_Tutor,earliest_analyzable,84ffd356db2ed3098d73a026c853d9e409e8b043,2025-06-22T16:00:32.000Z,Hugging Face,inference_service,code_signature,hf_inference,app.py,high
Gimgaru/finalproject_aitutor,earliest_analyzable,c680bf43ebd6be00d8a6a800ab70c74e10a41972,2026-06-08T12:13:42.000Z,Google,inference_service,package,google-genai,requirements.txt,high
gneya/educational_chatbot,earliest_analyzable,e322dc397ca355590ecf14e0158626585c699e79,2024-05-29T08:59:32.000Z,Groq,inference_service,code_signature,groq_sdk,utils.py,high
GoIpKrIsHnA/studyAssistantAI,earliest_analyzable,ca8acf69f5ccb5a836cafe04b1797aca0761d5e4,2026-07-04T05:33:18.000Z,Google,inference_service,code_signature,gemini_sdk,app.py,high
GoIpKrIsHnA/studyAssistantAI,earliest_analyzable,ca8acf69f5ccb5a836cafe04b1797aca0761d5e4,2026-07-04T05:33:18.000Z,Google,inference_service,package,google-genai,requirements.txt,high
google/rad_learning_companion,earliest_analyzable,81cdd5ffdcecd1ce5522821c69897082d7b8ad72,2025-07-28T15:45:04.000Z,User-managed runtime,local_runtime,package,transformers,backend/requirements.txt,high
gopichand55k/StudyAssistant,earliest_analyzable,4b4c73d6db2021e3073df753c869c3c2f106cec4,2026-04-18T05:41:28.000Z,Google,inference_service,code_signature,gemini_sdk,app.py,high
gopichand55k/StudyAssistant,earliest_analyzable,4b4c73d6db2021e3073df753c869c3c2f106cec4,2026-04-18T05:41:28.000Z,Google,inference_service,package,google-genai,requirements.txt,high
gouravbathla/Language_Tutor,earliest_analyzable,aa48c8572aaee06ad17fedd1eecda2fdf623c855,2026-06-05T09:41:52.000Z,OpenAI,inference_service,code_signature,openai_official,app.py,high
gouravbathla/Language_Tutor,earliest_analyzable,aa48c8572aaee06ad17fedd1eecda2fdf623c855,2026-06-05T09:41:52.000Z,OpenAI,inference_service,code_signature,openai_official,grammar_evaluator_agent.py,high
gouravbathla/Language_Tutor,earliest_analyzable,aa48c8572aaee06ad17fedd1eecda2fdf623c855,2026-06-05T09:41:52.000Z,OpenAI,inference_service,code_signature,openai_official,grammar_mcq_agent.py,high
gr3g0r-i/quiz-generator,earliest_analyzable,3cf612b1e2f2363ab774e66e5cfdd36be2fd4573,2025-05-31T13:52:38.000Z,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high
habiba-elshrkawy/quiz-generator,earliest_analyzable,ecb83d43c6af5d5270c78136db661ff80710d872,2026-06-11T10:16:11.000Z,Groq,inference_service,package,groq,requirements.txt,high
Hafeezaqsa01/Quiz_generator,earliest_analyzable,b0a147056e2fbdc3d005c998d2b4f5ac55c3a0c3,2026-03-08T17:06:09.000Z,Groq,inference_service,package,groq,requirements.txt,high
Hafsah-Fatima/Programming_Tutor_Chatbot,earliest_analyzable,9f88b6b1154a9d7f310802713eebdb1d34c32125,2025-12-24T08:16:35.000Z,Groq,inference_service,code_signature,groq_sdk,app.py,high
Hardik2704/Teaching_Assistant,earliest_analyzable,6d32081ca2e77679ad07b938b689eca12f1d4c5c,2024-12-13T10:35:00.000Z,Google,inference_service,code_signature,gemini_sdk,app.py,high
Hareesh221/30-day-course-generator,earliest_analyzable,68ffc072eb27032da97c2726a0829d76024098b7,2025-12-04T07:58:50.000Z,Google,inference_service,package,google-generativeai,requirements.txt,high
harika-donthula/my-study-assistant,earliest_analyzable,98e5081cab8a538e1496dc6d2264958606f42a17,2026-07-04T20:26:44.000Z,Google,inference_service,code_signature,gemini_sdk,app (1).py,high
harika-donthula/my-study-assistant,earliest_analyzable,98e5081cab8a538e1496dc6d2264958606f42a17,2026-07-04T20:26:44.000Z,Google,inference_service,package,google-genai,requirements.txt,high
harikagajjala/AI_TUTOR,earliest_analyzable,bf558537c21db78215d1a2f1fa710564fd95daac,2026-07-06T08:03:01.000Z,Google,inference_service,package,google-genai,requirements.txt,high
HarryPotter1o1/Study_Assistant,earliest_analyzable,86f8c7089c4aeb37a123efa55c62413f794cb583,2025-07-30T11:46:11.000Z,Groq,inference_service,package,groq,requirements.txt,high
Harsha855/StudyAssistant,earliest_analyzable,713ac79b4ba77ac82c5ca1cc2621892049774290,2026-02-27T06:21:41.000Z,Google,inference_service,code_signature,gemini_sdk,app.py,high
Harsha855/StudyAssistant,earliest_analyzable,713ac79b4ba77ac82c5ca1cc2621892049774290,2026-02-27T06:21:41.000Z,Google,inference_service,package,google-genai,requirements.txt,high
harshu07/ai_tutor,earliest_analyzable,a3748da889d7ef5549f051cd55d4476a19afc343,2025-02-08T04:33:17.000Z,Hugging Face,inference_service,code_signature,hf_inference,app.py,high
hasithmutha/quiz-generator-ai,earliest_analyzable,70e769cd8a6788931a34d7a2f00b644bbe83fb3a,2025-04-19T13:24:13.000Z,Hugging Face,inference_service,code_signature,hf_inference,app.py,high
HemanthRaj/Socratic-AI-Tutor-Model,earliest_analyzable,b56053e296e08d1ac0347c67447a67572af21491,2025-06-30T13:48:17.000Z,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high
HemanthRaj/Socratic-AI-Tutor-Model,earliest_analyzable,b56053e296e08d1ac0347c67447a67572af21491,2025-06-30T13:48:17.000Z,User-managed runtime,local_runtime,package,transformers,requirements.txt,high
HemanthRaj/socratic-tutor-embedder,earliest_analyzable,feff02f80cca13167a9bd3d3cee4629920f3cbff,2025-07-13T17:00:57.000Z,User-managed runtime,local_runtime,package,transformers,requirements.txt,high
HumeraAI/lesson-plan-generator,earliest_analyzable,6fa73dc42ff779b8fb52f0aebf5d2f6cb1a6a626,2026-05-04T05:51:59.000Z,Groq,inference_service,package,groq,requirements.txt,high
HumeraAI/quiz-generator-from-PDF,earliest_analyzable,ef6a78b224836b127d98a18b37607e783c944a63,2026-04-16T06:30:40.000Z,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high
hussainzaidi/AI-Teaching-Assistant,earliest_analyzable,536f7baea3d842679032a167269c56fe2c8770e0,2025-09-22T08:58:15.000Z,Groq,inference_service,code_signature,groq_sdk,app.py,high
hussainzaidi/AI-Teaching-Assistant,earliest_analyzable,536f7baea3d842679032a167269c56fe2c8770e0,2025-09-22T08:58:15.000Z,Groq,inference_service,package,groq,requirements.txt,high
husseinhug321/Study-Buddy-AI-Learning-Assistant,earliest_analyzable,6f5ce4c1debca80db6011deeb054678128bc7b2e,2025-02-24T18:12:08.000Z,User-managed runtime,local_runtime,code_signature,transformers_runtime,local.py,high
hyder-ali/ai_tutor,earliest_analyzable,330cdbeeb92424b2a6b19b2bc73cb1afb9c3a627,2024-12-27T12:57:20.000Z,User-managed runtime,local_runtime,package,transformers,requirements.txt,high
iamyash222/studyAssistant,earliest_analyzable,9aae886b43ecddb443ea7621ca1cdd170c74fa38,2026-07-07T08:06:09.000Z,Google,inference_service,code_signature,gemini_sdk,app.py,high
iamyash222/studyAssistant,earliest_analyzable,9aae886b43ecddb443ea7621ca1cdd170c74fa38,2026-07-07T08:06:09.000Z,Google,inference_service,package,google-genai,requirements.txt,high
ifaundezf/estudiapp-quiz-generator,earliest_analyzable,4b8736bba1a8480749c04618ab1dd32e72e421d4,2025-04-30T01:40:32.000Z,User-managed runtime,local_runtime,package,transformers,requirements.txt,high
iju123/Quiz_Generator,earliest_analyzable,98e7b1d39241957521bebeffdac50c447c95f91c,2025-08-25T06:46:13.000Z,User-managed runtime,local_runtime,package,transformers,requirements.txt,high
ilangs/AI_Math_Tutor,earliest_analyzable,627b67b25eea6f7ea3733cc74d3a142d7027b692,2026-03-13T07:04:12.000Z,OpenAI,inference_service,code_signature,openai_official,RAG_sys/csv_refiner.py,high
ilangs/AI_Math_Tutor,earliest_analyzable,627b67b25eea6f7ea3733cc74d3a142d7027b692,2026-03-13T07:04:12.000Z,OpenAI,inference_service,code_signature,openai_official,RAG_sys/rag_helper.py,high
ishanmm0410/rag-quiz-generator,earliest_analyzable,e7e6d3d08012560a4c2eacb57bf6164a8e60beb9,2026-04-27T01:54:19.000Z,Groq,inference_service,code_signature,groq_sdk,quiz_generator.py,high
ishanmm0410/rag-quiz-generator,earliest_analyzable,e7e6d3d08012560a4c2eacb57bf6164a8e60beb9,2026-04-27T01:54:19.000Z,Groq,inference_service,package,groq,requirements.txt,high
isreyas/Study_Assistant,earliest_analyzable,29656ba06d7441cf8c3bcabcdca523a826e32c68,2026-07-05T05:56:09.000Z,Google,inference_service,code_signature,gemini_sdk,study.py,high
itsh4r01/AI-Quiz-Generator,earliest_analyzable,a98fbe42a8e9aa38ce45fab2c3850e907c1a2050,2026-07-21T09:55:29.000Z,Hugging Face,inference_service,code_signature,hf_inference,app.py,high
Jainish210705/Quiz_Generator,earliest_analyzable,1aee94d411ac2bcb6a8e51ea4cacbf4127e3a011,2025-09-21T08:34:47.000Z,Google,inference_service,package,langchain-google-genai,requirements.txt,high
jakeeeeeeee/my-study-assistant,earliest_analyzable,c3e1259394fc6d83699cf0a477f8358627871e1d,2026-08-02T10:40:48.000Z,Google,inference_service,code_signature,gemini_sdk,app (1).py,high
jakeeeeeeee/my-study-assistant,earliest_analyzable,c3e1259394fc6d83699cf0a477f8358627871e1d,2026-08-02T10:40:48.000Z,Google,inference_service,package,google-genai,requirements.txt,high
Janakimeena/RAG-Base-Educational-Chatbot,earliest_analyzable,eca8311c023206ed3d02c6ccc2af16918ed64a04,2026-05-12T09:33:03.000Z,Google,inference_service,code_signature,gemini_sdk,chat_faiss.py,high
Janakimeena/RAG-Base-Educational-Chatbot,earliest_analyzable,eca8311c023206ed3d02c6ccc2af16918ed64a04,2026-05-12T09:33:03.000Z,Google,inference_service,code_signature,gemini_sdk,rag_fastapi_gui.py,high
Janakimeena/RAG-Base-Educational-Chatbot,earliest_analyzable,eca8311c023206ed3d02c6ccc2af16918ed64a04,2026-05-12T09:33:03.000Z,Google,inference_service,package,langchain-google-genai,requirements.txt,high
Jayadityasahu/my-study-assistant,earliest_analyzable,8320b1eea0974addf8d6eb88c56810ea04831df5,2026-08-29T09:03:15.000Z,Google,inference_service,code_signature,gemini_sdk,app (1).py,high
Jayadityasahu/my-study-assistant,earliest_analyzable,8320b1eea0974addf8d6eb88c56810ea04831df5,2026-08-29T09:03:15.000Z,Google,inference_service,package,google-genai,requirements.txt,high
jayeshjachak/Study_Assistant,earliest_analyzable,7cf792cf66d8d3fc0b44d03f4e4bd386d791bac9,2026-04-13T09:29:51.000Z,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high
jayeshjachak/Study_Assistant,earliest_analyzable,7cf792cf66d8d3fc0b44d03f4e4bd386d791bac9,2026-04-13T09:29:51.000Z,User-managed runtime,local_runtime,package,transformers,requirements.txt,high
jdbolter/language-tutor,earliest_analyzable,244b8f2fc6907b5f14180426505072f061b0bc20,2025-06-20T01:28:34.000Z,OpenAI,inference_service,code_signature,openai_official,app.py,high
jenny-yuu/english-teaching-assistant,earliest_analyzable,718ba4c7d552ba58324f88f86d826b3ca3de734c,2025-10-19T18:04:51.000Z,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high
jenny-yuu/english-teaching-assistant,earliest_analyzable,718ba4c7d552ba58324f88f86d826b3ca3de734c,2025-10-19T18:04:51.000Z,User-managed runtime,local_runtime,package,transformers,requirements.txt,high
