space_id,provider,layer,evidence_type,evidence_value,source_file,confidence,model_family,upstream_license,provider_basis
danielspba/Chatbot-Tutor-IA,Mistral AI,model_dependency,code_model_id,mistralai/mistral-7b-instruct:free,selected_source_files,medium,Mistral/Mixtral,missing,model_namespace
danielspba/Chatbot_prof_tutor,OpenAI,inference_service,code_signature,openai_official,app.py,high,,not_applicable,code_signature
danielspba/Chatbot_prof_tutor,OpenRouter,inference_service,code_signature,openrouter_endpoint,app.py,high,,not_applicable,code_signature
danielspba/Chatbot_prof_tutor,namespace:deepseek,model_dependency,code_model_id,deepseek/deepseek-r1:free,selected_source_files,medium,DeepSeek,missing,unmapped_public_namespace
Danny2311/Quiz-Generator,Google,inference_service,code_signature,gemini_sdk,app.py,high,,not_applicable,code_signature
Danny2311/Quiz-Generator,Google,inference_service,package,google-genai,requirements.txt,high,,not_applicable,package
Danny2311/Quiz-Generator,namespace:models,model_dependency,code_model_id,models/gemini-2.5-flash,selected_source_files,medium,gemini,missing,unmapped_public_namespace
danrdoran/ai_tutor_flan_base,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
danrdoran/ai_tutor_flan_base,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
danrdoran/ai_tutor_flan_base,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
danrdoran/ai_tutor_flan_base,Google,model_dependency,hf_linked_model,google/flan-t5-base,hub_metadata,high,T5/FLAN-T5,apache-2.0,model_namespace
danrdoran/ai_tutor_flan_t5_large,Hugging Face,hub_sdk,package,huggingface-hub,requirements.txt,high,,not_applicable,package
danrdoran/ai_tutor_flan_t5_large,User-managed runtime,local_runtime,package,transformers,requirements.txt,high,,not_applicable,package
danrdoran/ai_tutor_flan_t5_large,User-managed runtime,local_runtime,code_signature,transformers_runtime,app.py,high,,not_applicable,code_signature
danrdoran/ai_tutor_flan_t5_large,Google,model_dependency,hf_linked_model,google/flan-t5-large,hub_metadata,high,T5/FLAN-T5,apache-2.0,model_namespace
