space_id,runtime_stage,disabled,last_modified,last_modified_age_days
GoIpKrIsHnA/studyAssistantAI,SLEEPING,False,2026-07-04T05:33:18.000Z,57.768541666666664
google/rad_learning_companion,RUNNING,False,2025-12-26T10:25:24.000Z,247.56569444444443
gopichand55k/StudyAssistant,RUNTIME_ERROR,False,2026-04-18T05:41:28.000Z,134.76287037037036
gouravbathla/Language_Tutor,SLEEPING,False,2026-06-05T09:53:46.000Z,86.58766203703703
gr3g0r-i/quiz-generator,RUNTIME_ERROR,False,2025-05-31T14:47:50.000Z,456.38344907407406
guddolla/ai.tutor,SLEEPING,False,2026-07-08T08:28:11.000Z,53.64709490740741
guddolla/AI_TUTOR,CONFIG_ERROR,False,2026-07-08T08:14:52.000Z,53.656342592592594
Gungz/quiz-generator-baidu-ernie,SLEEPING,False,2025-12-30T17:52:10.000Z,243.25543981481482
habiba-elshrkawy/quiz-generator,SLEEPING,False,2026-07-05T12:53:34.000Z,56.462800925925926
hackmisty123/hack-misty-ai-tutor,RUNTIME_ERROR,False,2026-06-19T01:03:31.000Z,72.9558912037037
Hafeezaqsa01/Quiz_generator,SLEEPING,False,2026-03-10T18:23:27.000Z,173.23371527777778
Hafsah-Fatima/Programming_Tutor_Chatbot,RUNTIME_ERROR,False,2025-12-25T15:49:29.000Z,248.34063657407407
Hafsah-Fatima/Programming_Tutor_Chatbot_0.2,SLEEPING,False,2025-12-25T19:05:06.000Z,248.20479166666667
haiderijaz/mock-quiz-generator,RUNTIME_ERROR,False,2025-07-23T19:33:27.000Z,403.1851041666667
Hardik2704/Teaching_Assistant,BUILD_ERROR,False,2024-12-18T05:34:25.000Z,620.7677662037037
Hareesh221/30-day-course-generator,RUNTIME_ERROR,False,2025-12-04T07:59:52.000Z,269.66675925925927
harika-donthula/my-study-assistant,SLEEPING,False,2026-07-04T20:28:28.000Z,57.146898148148146
Harika06/AI_TUTOR,SLEEPING,False,2026-07-03T09:40:10.000Z,58.59710648148148
harikagajjala/AI_TUTOR,SLEEPING,False,2026-07-06T09:50:39.000Z,55.58982638888889
Hariprasaadh/QuizGenerator,PAUSED,False,2024-12-23T08:47:20.000Z,615.6337962962963
HarryPotter1o1/Study_Assistant,SLEEPING,False,2025-07-30T12:02:25.000Z,396.4983217592593
harsha17v/StudyAssistant,RUNNING,False,2026-07-20T11:44:22.000Z,41.51085648148148
Harsha855/StudyAssistant,SLEEPING,False,2026-02-27T06:38:35.000Z,184.7232060185185
harshj0506/teachingAssistant,SLEEPING,False,2024-06-25T16:15:03.000Z,796.3228819444445
