draw,service_hhi,model_hhi,hhi_difference,hhi_ratio,service_top_share,model_top_share,top_share_difference,service_shannon_entropy,model_shannon_entropy,shannon_entropy_difference_model_minus_service
37,0.3496326905417815,0.12937455361697786,0.22025813692480362,2.7024842271293377,0.5555555555555556,0.21212121212121213,0.3434343434343434,1.462524043560663,2.3578326790743622,0.8953086355136992
38,0.30700948882767065,0.1414311464816515,0.16557834234601915,2.170734639894193,0.4797979797979798,0.2407407407407407,0.23905723905723908,1.4195663415493383,2.1766316798386063,0.757065338289268
39,0.36060095908580764,0.12548039315716084,0.2351205659286468,2.873763382572165,0.5555555555555556,0.21212121212121213,0.3434343434343434,1.384125364693432,2.401810479939048,1.017685115245616
40,0.3957759412304866,0.15457606366697274,0.24119987756351385,2.56039603960396,0.5959595959595959,0.24242424242424243,0.3535353535353535,1.3022228995653085,2.161104918437686,0.8588820188723774
41,0.3436894194469952,0.11746250382614018,0.22622691562085503,2.925950054288817,0.5404040404040404,0.20202020202020202,0.33838383838383845,1.4273135283461733,2.4365921448232046,1.0092786164770313
42,0.308795020916233,0.1258686755319752,0.1829263453842578,2.453311116615253,0.4898989898989899,0.19696969696969696,0.29292929292929293,1.4542814498037675,2.354422644004909,0.9001411942011415
43,0.3236404448525661,0.11032746091668648,0.2133129839358796,2.933453214308652,0.5050505050505051,0.14646464646464646,0.3585858585858586,1.4049697855478014,2.4061878778270054,1.001218092279204
44,0.3476175900418325,0.13006042467321927,0.21755716536861325,2.67273915885814,0.5404040404040404,0.2079124579124579,0.3324915824915825,1.3917595428812308,2.315470316019345,0.923710773138114
45,0.32598714416896235,0.13150302123366098,0.19448412293530137,2.478932735619302,0.5050505050505051,0.19696969696969696,0.3080808080808081,1.3976956503175275,2.237535287423321,0.8398396371057935
46,0.32710947862463025,0.13213079164257618,0.19497868698205406,2.4756491243122665,0.5252525252525253,0.1826599326599327,0.3425925925925926,1.4985348757741652,2.300650040515119,0.8021151647409537
47,0.3689419446995204,0.11766231336938407,0.2512796313301363,3.1355999566426993,0.5656565656565656,0.20202020202020202,0.36363636363636365,1.3410764045634775,2.4198137405285687,1.0787373359650911
48,0.3226711560044893,0.12136800099763063,0.2013031550068587,2.6586180323657844,0.5151515151515151,0.20202020202020202,0.31313131313131315,1.4607458063597394,2.3355096518919782,0.8747638455322388
49,0.30782573206815633,0.11404731943452481,0.19377841263363152,2.699105367793241,0.494949494949495,0.17592592592592593,0.31902356902356904,1.52387823987445,2.4791863234686864,0.9553080835942365
50,0.32004387307417614,0.12984644424038366,0.19019742883379248,2.4647873489834002,0.5151515151515151,0.19444444444444445,0.3207070707070707,1.4967912567736525,2.3347524867053826,0.8379612299317301
51,0.3405774920926436,0.12282193426974573,0.21775555782289785,2.77293705002769,0.5454545454545454,0.20202020202020202,0.3434343434343434,1.4620630589707986,2.368320528075833,0.9062574691050345
52,0.33894500561167235,0.14681891870444058,0.19212608690723176,2.3085921664768456,0.5252525252525253,0.21969696969696967,0.30555555555555564,1.3633647567449794,2.16002675874223,0.7966620019972508
53,0.3734312825221916,0.15345939756714166,0.21997188495504993,2.433420751302035,0.5656565656565656,0.2727272727272727,0.29292929292929293,1.3190445820894507,2.2195582775493583,0.9005136954599076
54,0.3433323130292827,0.14613304764819918,0.1971992653810835,2.349450165823005,0.5303030303030303,0.23737373737373735,0.29292929292929293,1.3985254656405812,2.2545491506512767,0.8560236850106955
55,0.40449954086317724,0.11723293541475358,0.28726660544842364,3.450391644908617,0.6060606060606061,0.17845117845117842,0.42760942760942766,1.329374874263416,2.4018159884162387,1.0724411141528227
56,0.3819508213447608,0.14756997585280412,0.2343808454919567,2.5882691864484912,0.5707070707070707,0.22643097643097645,0.3442760942760943,1.2969749769477052,2.182743171519091,0.8857681945713856
57,0.3187684930109173,0.12884172816832754,0.18992676484258977,2.474109106907171,0.494949494949495,0.20202020202020202,0.29292929292929293,1.4315889815536973,2.3131300865291906,0.8815411049754933
58,0.3597592082440567,0.15475178269791068,0.20500742554614604,2.324750009157173,0.5606060606060606,0.25757575757575757,0.303030303030303,1.4032998044971272,2.1175716530202044,0.7142718485230772
59,0.3857769615345373,0.12415116371345328,0.26162579782108397,3.1073165163794085,0.5858585858585859,0.19612794612794615,0.3897306397306397,1.3257088948111209,2.401654186839834,1.0759452920287131
