excluded_query,candidate_union,analysis,strict_projects_in_frame,projects,providers,hhi,effective_number,top1_share,top3_share,gini,top_provider
study assistant,567,model_provider,389,174,60.0,0.07174595572584079,13.938067865751899,0.13505747126436782,0.3682950191570881,0.6764367816091954,Mistral AI
study assistant,567,matched_service_minus_model,389,89,,0.21193487073742087,,,,,not_applicable
learning companion,686,combined,526,509,70.0,0.19990217865920837,5.00244673023195,0.3829123397885677,0.6541023482084386,0.8712079173516164,Google
learning companion,686,provider_only,526,497,69.0,0.21709126433089931,4.6063576214460635,0.41529175050301814,0.6871227364185111,0.8501365682014795,Google
learning companion,686,inference_service,526,398,10.0,0.30811066078578264,3.245587145377164,0.4739112227805695,0.8311139028475713,0.6788860971524289,Google
learning companion,686,model_provider,526,197,62.0,0.07328662309143641,13.645054961153622,0.1353637901861252,0.3697123519458545,0.6908056328803013,Google
learning companion,686,matched_service_minus_model,526,98,,0.22084403489286875,,,,,not_applicable
homework assistant,762,combined,529,512,70.0,0.19957230583069827,5.01071526852189,0.38262183779761905,0.6541759672619047,0.8712929156037413,Google
homework assistant,762,provider_only,529,499,69.0,0.2170673187836372,4.606865766821188,0.4156312625250501,0.6863727454909819,0.8502405777739054,Google
homework assistant,762,inference_service,529,400,10.0,0.3075037152777778,3.251993229079097,0.4740416666666667,0.8294583333333334,0.6779916666666667,Google
homework assistant,762,model_provider,529,198,62.0,0.07316890850140008,13.66700720950163,0.13468013468013468,0.3678451178451178,0.6914711632453568,Google
homework assistant,762,matched_service_minus_model,529,99,,0.21514669704905395,,,,,not_applicable
lesson plan generator,751,combined,519,502,70.0,0.19927771995556628,5.018122448525474,0.3832716752039461,0.6522671219882376,0.869981163780253,Google
lesson plan generator,751,provider_only,519,489,69.0,0.21680047386516074,4.61253604372632,0.41697341513292435,0.6830265848670758,0.8483042391551329,Google
lesson plan generator,751,inference_service,519,391,10.0,0.30640167479571984,3.2636897323316103,0.4747229326513214,0.825532821824382,0.6754390451832907,Google
lesson plan generator,751,model_provider,519,194,62.0,0.07234245285246985,13.8231420220065,0.13745704467353953,0.3702749140893471,0.6876039241769205,Google
lesson plan generator,751,matched_service_minus_model,519,96,,0.2297981168016976,,,,,not_applicable
grading assistant,764,combined,530,512,70.0,0.19957230583069827,5.01071526852189,0.38262183779761905,0.6541759672619047,0.8712929156037413,Google
grading assistant,764,provider_only,530,499,69.0,0.2170673187836372,4.606865766821188,0.4156312625250501,0.6863727454909819,0.8502405777739054,Google
grading assistant,764,inference_service,530,400,10.0,0.3075037152777778,3.251993229079097,0.4740416666666667,0.8294583333333334,0.6779916666666667,Google
grading assistant,764,model_provider,530,198,62.0,0.07316890850140008,13.66700720950163,0.13468013468013468,0.3678451178451178,0.6914711632453568,Google
grading assistant,764,matched_service_minus_model,530,99,,0.21514669704905395,,,,,not_applicable
language tutor,743,combined,511,493,67.0,0.20253173195789703,4.937497893949198,0.3872259248526997,0.6631604365884285,0.8694003180273651,Google
language tutor,743,provider_only,511,480,66.0,0.22040379774305552,4.537126901804975,0.420625,0.6850694444444444,0.8478019781144783,Google
language tutor,743,inference_service,511,384,10.0,0.31473565749180177,3.1772694837605044,0.48337673611111115,0.8431857638888889,0.6843663194444445,Google
language tutor,743,model_provider,511,190,59.0,0.07466797476146508,13.392622515805579,0.13421052631578947,0.36754385964912284,0.6915997621171575,Mistral AI
language tutor,743,matched_service_minus_model,511,94,,0.21423563955535432,,,,,not_applicable
