analysis,provider,project_count,fractional_weight,fractional_share
combined_near_duplicate_090,Together AI,3,1.3333333333333335,0.0030935808197989174
combined_near_duplicate_090,BAAI,3,1.25,0.002900232018561485
combined_near_duplicate_090,namespace:sshleifer,4,1.1666666666666665,0.002706883217324052
combined_near_duplicate_090,namespace:mrm8488,2,1.0,0.002320185614849188
combined_near_duplicate_090,namespace:3morg,1,1.0,0.002320185614849188
combined_near_duplicate_090,Anthropic,4,0.95,0.0022041763341067284
combined_near_duplicate_090,EleutherAI,4,0.8928571428571428,0.002071594298972489
combined_near_duplicate_090,namespace:Salesforce,3,0.8333333333333333,0.001933488012374323
combined_near_duplicate_090,namespace:models,2,0.8333333333333333,0.001933488012374323
combined_near_duplicate_090,namespace:cross-encoder,2,0.75,0.0017401392111368909
combined_near_duplicate_090,namespace:deepseek,2,0.6666666666666666,0.0015467904098994585
combined_near_duplicate_090,namespace:TheBloke,2,0.5833333333333333,0.001353441608662026
combined_near_duplicate_090,namespace:jaiganesan,2,0.5,0.001160092807424594
combined_near_duplicate_090,Fireworks AI,1,0.5,0.001160092807424594
combined_near_duplicate_090,TII,1,0.5,0.001160092807424594
combined_near_duplicate_090,namespace:Abdelrahman04,1,0.5,0.001160092807424594
combined_near_duplicate_090,namespace:LiquidAI,1,0.5,0.001160092807424594
combined_near_duplicate_090,namespace:LoveJesus,1,0.5,0.001160092807424594
combined_near_duplicate_090,namespace:akhooli,1,0.5,0.001160092807424594
combined_near_duplicate_090,namespace:bielik-chatbot-devteam,1,0.5,0.001160092807424594
combined_near_duplicate_090,namespace:canopylabs,1,0.5,0.001160092807424594
combined_near_duplicate_090,namespace:danrdoran,1,0.5,0.001160092807424594
combined_near_duplicate_090,namespace:ke955,1,0.5,0.001160092807424594
combined_near_duplicate_090,namespace:koshkosh,1,0.5,0.001160092807424594
combined_near_duplicate_090,namespace:lmqg,1,0.5,0.001160092807424594
combined_near_duplicate_090,namespace:runwayml,1,0.5,0.001160092807424594
combined_near_duplicate_090,namespace:speakleash,1,0.5,0.001160092807424594
combined_near_duplicate_090,namespace:vivicake666,1,0.5,0.001160092807424594
combined_near_duplicate_090,namespace:AdamCodd,2,0.3333333333333333,0.0007733952049497292
combined_near_duplicate_090,namespace:CountingMstar,1,0.3333333333333333,0.0007733952049497292
combined_near_duplicate_090,namespace:MBZUAI,1,0.3333333333333333,0.0007733952049497292
